Store,Date,Total_Premium,Total_Charges,Credit_Card_Fee,State_Fee,Total_Deposit
Fiesta Auto Ins Center #CA127,01/28/2017,593.2000,0.0000,0,30,623.2000
Fiesta Auto Ins Center #CA127,01/29/2017,838.4600,80.0000,5,0,763.4600
Fiesta Auto Ins Center #CA128,01/27/2017,626.9800,0.0000,0,60,686.9800
Fiesta Auto Ins Center #CA128,01/28/2017,947.0900,369.0000,0,15,593.0900
Fiesta Auto Ins Center #CA128,01/29/2017,857.5300,490.0000,0,45,412.5300
Fiesta Auto Ins Center #CA130,01/27/2017,615.9300,0.0000,0,0,615.9300
Fiesta Auto Ins Center #CA130,01/28/2017,1760.4500,484.0000,0,75,1351.4500
Fiesta Auto Ins Center #CA130,01/29/2017,1145.8900,0.0000,0,30,1175.8900
Fiesta Auto Ins Center #CA131,01/27/2017,556.6000,95.0000,5,15,481.6000
Fiesta Auto Ins Center #CA131,01/28/2017,942.9600,538.0000,0,45,449.9600
Fiesta Auto Ins Center #CA131,01/29/2017,251.2500,240.0000,5,30,46.2500
Fiesta Auto Ins Center #CA132,01/27/2017,723.6600,0.0000,0,15,738.6600
Fiesta Auto Ins Center #CA132,01/28/2017,1047.6200,270.0000,0,45,822.6200
Fiesta Auto Ins Center #CA132,01/29/2017,314.8600,0.0000,0,0,314.8600
Fiesta Auto Ins Center #CA133,01/27/2017,714.3000,165.0000,5,30,584.3000
Fiesta Auto Ins Center #CA133,01/28/2017,701.7500,0.0000,0,15,716.7500
Fiesta Auto Ins Center #CA133,01/29/2017,245.4300,0.0000,0,30,275.4300
Fiesta Auto Ins Center #CA137,01/27/2017,1352.8100,80.0000,5,30,1307.8100
Fiesta Auto Ins Center #CA137,01/28/2017,652.6800,540.5300,20,30,162.1500
Fiesta Auto Ins Center #CA140,01/27/2017,591.4500,224.0000,0,45,412.4500
Fiesta Auto Ins Center #CA140,01/28/2017,935.6700,199.0000,0,30,766.6700
Fiesta Auto Ins Center #CA140,01/29/2017,1891.7800,918.0000,0,30,1003.7800
Fiesta Auto Ins Center #CA141,01/27/2017,1249.3300,0.0000,0,30,1279.3300
Fiesta Auto Ins Center #CA141,01/28/2017,465.3900,0.0000,0,0,465.3900
Fiesta Auto Ins Center #CA141,01/29/2017,797.4500,0.0000,0,15,812.4500
Fiesta Auto Ins Center #CA145,01/27/2017,3646.8500,1055.0000,5,45,2641.8500
Fiesta Auto Ins Center #CA145,01/28/2017,3535.3700,324.0000,5,15,3231.3700
Fiesta Auto Ins Center #CA145,01/29/2017,3461.0500,928.0000,10,75,2618.0500
Fiesta Auto Ins Center #CA146,01/27/2017,1463.2600,334.0000,0,60,1189.2600
Fiesta Auto Ins Center #CA146,01/28/2017,2674.9500,978.9000,5,45,1746.0500
Fiesta Auto Ins Center #CA146,01/29/2017,1154.4800,359.0000,0,30,825.4800
Fiesta Auto Ins Center #CA152,01/27/2017,80.9500,0.0000,0,15,95.9500
Fiesta Auto Ins Center #CA152,01/28/2017,198.6000,0.0000,0,0,198.6000
Fiesta Auto Ins Center #CA153,01/27/2017,0.0000,0.0000,0,0,0.0000
Fiesta Auto Ins Center #CA153,01/28/2017,62.0000,0.0000,0,0,62.0000
Fiesta Auto Ins Center #CA154,01/27/2017,337.7200,200.0000,0,30,167.7200
Fiesta Auto Ins Center #CA154,01/28/2017,71.8600,0.0000,0,0,71.8600
Fiesta Auto Ins Center #CA155,01/27/2017,202.2400,100.0000,5,0,107.2400
Fiesta Auto Ins Center #CA155,01/28/2017,505.9700,385.5000,0,30,150.4700
Fiesta Auto Ins Center #CA160,01/27/2017,1492.6200,1464.0000,0,45,73.6200
Fiesta Auto Ins Center #CA160,01/28/2017,922.6000,0.0000,0,0,922.6000
Fiesta Auto Ins Center #CA160,01/29/2017,503.2400,200.0000,0,15,318.2400
Fiesta Auto Ins Center #CA161,01/27/2017,82.0700,188.0000,0,15,-90.9300
Fiesta Auto Ins Center #CA161,01/28/2017,77.0800,93.0500,0,15,-0.9700
Fiesta Auto Ins Center #CO001,01/27/2017,1191.0500,0.0000,0,,1191.0500
Fiesta Auto Ins Center #CO001,01/28/2017,854.7300,0.0000,0,,854.7300
Fiesta Auto Ins Center #CO002,01/27/2017,2243.4100,0.0000,0,,2243.4100
Fiesta Auto Ins Center #CO002,01/28/2017,629.8900,0.0000,0,,629.8900
Fiesta Auto Ins Center #FL001,01/27/2017,2360.8800,1194.4300,40,,1171.4500
Fiesta Auto Ins Center #FL001,01/28/2017,266.0300,293.7000,5,,-27.6700
Fiesta Auto Ins Center #FL004,01/27/2017,1285.2400,0.0000,0,,1285.2400
Fiesta Auto Ins Center #FL005,01/27/2017,3816.4600,0.0000,0,,3816.4600
Fiesta Auto Ins Center #FL005,01/28/2017,1408.9900,0.0000,0,,1408.9900
Fiesta Auto Ins Center #FL006,01/27/2017,1579.0800,0.0000,0,,1579.0800
Fiesta Auto Ins Center #FL006,01/28/2017,773.4100,683.4100,5,,90.0000
Fiesta Auto Ins Center #FL010,01/27/2017,2436.5900,1261.2900,15,,1175.3000
Fiesta Auto Ins Center #FL010,01/28/2017,252.3000,0.0000,0,,252.3000
Fiesta Auto Ins Center #FL011,01/27/2017,0.0000,0.0000,0,,0.0000
Fiesta Auto Ins Center #FL011,01/28/2017,113.6200,0.0000,0,,113.6200
Fiesta Auto Ins Center #FL013,01/27/2017,1661.1500,368.9800,5,,1292.1700
Fiesta Auto Ins Center #FL013,01/28/2017,384.4100,0.0000,0,,384.4100
Fiesta Auto Ins Center #FL014,01/27/2017,2522.1800,0.0000,0,,2522.1800
Fiesta Auto Ins Center #FL014,01/28/2017,2432.7500,0.0000,0,,2432.7500
Fiesta Auto Ins Center #FL014,01/29/2017,1844.1400,0.0000,0,,1844.1400
Fiesta Auto Ins Center #FL017,01/27/2017,277.5200,0.0000,0,,277.5200
Fiesta Auto Ins Center #FL019,01/27/2017,3128.3400,1169.2900,10,,1964.0500
Fiesta Auto Ins Center #FL019,01/28/2017,838.4300,264.0000,10,,584.4300
Fiesta Auto Ins Center #FL020,01/27/2017,213.2500,0.0000,0,,213.2500
Fiesta Auto Ins Center #FL020,01/28/2017,104.3600,0.0000,0,,104.3600
Fiesta Auto Ins Center #FL021,01/27/2017,232.7000,0.0000,0,,232.7000
